"ID_HBW";"sci_name";"com_name";"genus";"body_size";"body_mass";"clutch_size";"source"
1;"Campylorhynchus_jocosus";"boucard's wren";"Campylorhynchus";17;27.6;3.5;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
2;"Campylorhynchus_gularis";"spotted wren";"Campylorhynchus";17;30.1;4;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
3;"Campylorhynchus_yucatanicus";"yucatan wren";"Campylorhynchus";18;35.5;3;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Vargas-Soriano et al., 2010) "
4;"Campylorhynchus_brunneicapillus";"cactus wren";"Campylorhynchus";18.5;38.9;3.74;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
5;"Campylorhynchus_chiapensis";"giant wren";"Campylorhynchus";21;50.9;3;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
6;"Campylorhynchus_griseus";"bicolored wren";"Campylorhynchus";21.5;42.4;4;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
7;"Campylorhynchus_rufinucha";"rufous-naped wren";"Campylorhynchus";17;31;4;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
8;"Campylorhynchus_turdinus";"thrush-like wren";"Campylorhynchus";20.5;39;3.5;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Kroodsma &amp; Brewer, 2005), clutch size = (Kroodsma &amp; Brewer, 2005) "
9;"Campylorhynchus_albobrunneus";"white-headed wren";"Campylorhynchus";18.5;32.9;NA;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008) "
10;"Campylorhynchus_nuchalis";"stripe-backed wren";"Campylorhynchus";17.5;23.2;4;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
11;"Campylorhynchus_fasciatus";"fasciated wren";"Campylorhynchus";19;30;3.5;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
12;"Campylorhynchus_zonatus";"band-backed wren";"Campylorhynchus";18.5;34.6;4;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
13;"Campylorhynchus_megalopterus";"grey-barred wren";"Campylorhynchus";18;33.1;NA;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008) "
14;"Odontorchilus_cinereus";"tooth-billed wren";"Odontorchilus";12;11;NA;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008) "
15;"Odontorchilus_branickii";"grey-mantled wren";"Odontorchilus";12;9.6;NA;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008) "
16;"Salpinctes_obsoletus";"rock wren";"Salpinctes";15;16.5;6;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
17;"Catherpes_mexicanus";"canyon wren";"Catherpes";14;11.5;6;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
18;"Hylorchilus_sumichrasti";"slender-billed wren";"Hylorchilus";16;28.4;3;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
19;"Hylorchilus_navai";"nava's wren";"Hylorchilus";16;29.3;NA;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008) "
20;"Cinnycerthia_unirufa";"rufous wren";"Cinnycerthia";16.5;29.4;NA;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008) "
21;"Cinnycerthia_olivascens";"sharpe's wren";"Cinnycerthia";16;24.45;3;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Freeman &amp; Greeney, 2008) "
22;"Cinnycerthia_peruana";"peruvian wren";"Cinnycerthia";15.5;19.5;2;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
23;"Cinnycerthia_fulva";"fulvous wren";"Cinnycerthia";14.5;16.6;NA;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008) "
24;"Cistothorus_platensis";"sedge wren";"Cistothorus";10;9.12;7;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
25;"Cistothorus_meridae";"paramo wren";"Cistothorus";10;9.46;NA;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Hron et al., 2010) "
26;"Cistothorus_apolinari";"apolinar's wren";"Cistothorus";12;17.7;2;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
27;"Cistothorus_palustris";"marsh wren";"Cistothorus";12;10.7;5;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
28;"Thryomanes_bewickii";"bewick's wren";"Thryomanes";12.25;9.9;5.8;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
29;"Ferminia_cerverai";"zapata wren";"Ferminia";15.75;26.92;2;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Hron et al., 2010) "
30;"Thryothorus_ludovicianus";"carolina wren";"Thryothorus";13;19;4.5;"range = (Kroodsma &amp; Brewer, 2005), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
31;"Thryothorus_albinucha";"white-browed wren";"Thryothorus";12.5;12.4;NA;"range = (Kroodsma &amp; Brewer, 2005), body size = (Dunning, 2008), body mass = (Hron et al., 2010) "
32;"Thryothorus_atrogularis";"black-throated wren";"Thryothorus";14.93;24.25;NA;"range = (Ridgely &amp; Young, 2007), body size = (Hron et al., 2010), body mass = (Dunning, 2008) "
33;"Thryothorus_spadix";"sooty-headed wren";"Thryothorus";14.5;22.8;2;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Hron et al., 2010), clutch size = (Kroodsma &amp; Brewer, 2005) "
34;"Thryothorus_fasciatoventris";"black-bellied wren";"Thryothorus";15;24;3;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Auer et al., 2007) "
35;"Thryothorus_euophrys";"plain-tailed wren";"Thryothorus";16;33.75;NA;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Kroodsma &amp; Brewer, 2005) "
36;"Thryothorus_eisenmanni";"inca wren";"Thryothorus";16;23.15;NA;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008) "
37;"Thryothorus_genibarbis";"moustached wren";"Thryothorus";15.5;19.2;2;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Londono, 2009) "
38;"Thryothorus_mystacalis";"whiskered wren";"Thryothorus";16;29;NA;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008) "
39;"Thryothorus_coraya";"coraya wren";"Thryothorus";14.5;23.8;2;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
40;"Thryothorus_felix";"happy wren";"Thryothorus";13;12.8;5;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
41;"Thryothorus_maculipectus";"spot-breasted wren";"Thryothorus";13;15.05;3.5;"range = (Ridgely &amp; Young, 2007), body size = (Dunning, 2008), body mass = (Dunning, 2008), clutch size = (Kroodsma &amp; Brewer, 2005) "
